'C-K-RAS	KRAS
DDB2	DDB2
DDBB	DDB2
DDH4	TRIM33
DDIT3	DDIT3
DDR	DDR1
DDR1	DDR1
DDR2	DDR2
DDR2-N	DDR2
DDX	AKR1C3
DDX10	DDX10
DDX14	DDX3X
DDX2B	EIF4A2
DDX3	DDX3X
DDX3X	DDX3X
DDX41	DDX41
DDX5	DDX5
DDX58	RIGI
DDX6	DDX6
DEC	PTEN
DEDHIL	FBXW7
DEE51	MDH2
DEE58	NTRK2
DEE76	ACTL6B
DEE85	SMC1A
DEK	DEK
DEL16P13.2	USP7
DEL16p11.2	CREB3L1
DEL1q21.1	RBM8A
DEL7q	SAMD9L
DELTA	PSMB6
DELTA1	DLL1
DENND8B	FLCN
DENTT	TSPYL2
DESMD	APC
DESRT	ARID5B
DFN2	PRPS1
DFNA17	MYH9
DFNA23	SIX1
DFNA27	REST
DFNB39	HGF
DFNB97	MET
DFNX1	PRPS1
DFS70	PSIP1
DGCR8	DGCR8
DGCRK6	DGCR8
DGSX	GPC3
DHLAG	CD74
DHSR	KDSR
DHTR	AR
DI-CMTB	DNM2
DIAR5	EPCAM
DICER1	DICER1
DILOS	BCL11A
DIP	NCKIPSD
DIP1	NCKIPSD
DIP2B	DIP2B
DIS3L2	DIS3L2
DKC	DKC1
DKC1	DKC1
DKCA1	TERC
DKCA2	TERT
DKCA3	TINF2
DKCA4	RTEL1
DKCA5	TINF2
DKCA6	ACD
DKCB1	NOP10
DKCB2	NHP2
DKCB3	WRAP53
DKCB4	TERT
DKCB5	RTEL1
DKCB6	PARN
DKCB7	ACD
DKCD	TYMS
DKCX	DKC1
DKK-1	DKK1
DKK1	DKK1
DL1	DLL1
DLK	DLK1
DLK-1	DLK1
DLK1	DLK1
DLL1	DLL1
DLL3	DLL3
DLL4	DLL4
DM2	CNBP
DNA-PKC	PRKDC
DNA-PKcs	PRKDC
DNAJ26	GAK
DNAJC26	GAK
DNAPK	PRKDC
DNAPKc	PRKDC
DNM2	DNM2
DNMT	DNMT1
DNMT1	DNMT1
DNMT3A	DNMT3A
DNMT3A-3	DNMT3A
DNMT3A2	DNMT3A
DNMT3B	DNMT3B
DNPK1	PRKDC
DON1	NRG2
DOT1	DOT1L
DOT1L	DOT1L
DP2	APC
DP2.5	APC
DP3	APC
DPC4	SMAD4
DPD1	TGFB1
DPPIV	FAP
DRG-1	NDRG1
DRG1	NDRG1
DRIF1	SAMD9
DRIF2	SAMD9L
DRM	GREM1
DROSHA	DROSHA
DSHP	SH2D1A
DSS1	SEM1
DTEF-1	TEAD3
DULLARD	CTDNEP1
DUP15q	GREM1
DURS2	CHN1
DURS3	MAFB
DUSP10	DUSP10
DUSP22	DUSP22
DXS1179E	PRKCI
DXS1272E	KDM5C
DXS423E	SMC1A
DXS6673E	ZMYM3
DYN2	DNM2
DYNII	DNM2
DYS	ELP1
DYT28	KMT2B
DYT4	TUBB4A
Dbp4	DDX10
Delta	DLL1
Delta1	DLK1
Dicer	DICER1
Dicer1e	DICER1
Dtk	TYRO3
E14	NPAT
E14/NPAT	NPAT
E1A-F	ETV4
E1AF	ETV4
E2A	TCF3
E3B1	ABI1
E47	TCF3
E4TF1-60	GABPA
E4TF1A	GABPA
EAC	CYLD
EAP1	DAXX
EAT	MCL1
EBF	EBF1
EBF1	EBF1
EBNDS	PSMC3
EBP-1	NFKB1
EBVS	SH2D1A
EC-NOS	NOS3
ECAD	CDH1
ECCL	FGFR1
ECD	SEM1
ECGF	FGF1
ECGF-beta	FGF1
ECGFA	FGF1
ECGFB	FGF1
ECGP	HSP90B1
ECK	EPHA2
ECNOS	NOS3
ECT1	FGFR2
ECT2L	ECT2L
ECTD9	HOXC13
ECTO	TRIM33
ECYT3	EGLN1
ECYT4	EPAS1
EDDM5	CD52
EDDR1	DDR1
EDFAOB	RHOA
EDM7	CANT1
EDSARTH1	COL1A1
EDSC	COL1A1
EEC3	TP63
EED	EED
EEN	SH3GL1
EFTR-2	TEAD4
EFTUD1	ELF1
EGFR	EGFR
EGFRBP-GRB2	GRB2
EGLN1	EGLN1
EGLN2	EGLN2
EGP-1	TACSTD2
EGP-2	EPCAM
EGP1	TACSTD2
EGP314	EPCAM
EGP40	EPCAM
EHF	EHF
EHZF	ZNF521
EIEE51	MDH2
EIEE58	NTRK2
EIEE76	ACTL6B
EIEE85	SMC1A
EIF3H	EIF3H
EIF3S3	EIF3H
EIF4A	EIF4A2
EIF4A2	EIF4A2
EIF4F	EIF4A2
EIT-6	EGLN2
EIT6	EGLN2
EK4	EPHA3
EKVP4	KDSR
EL52	HSP90AA1
ELA2	ELANE
ELANE	ELANE
ELD	ARID1A
ELD/OSA1	ARID1B
ELE1	NCOA4
ELF1	ELF1
ELF2	ELF2
ELF3	ELF3
ELF4	ELF4
ELF5	ELF5
ELFR	ELF4
ELK1	ELK1
ELK3	ELK3
ELK4	ELK4
ELL	ELL
ELL1	ELL
ELN	ELN
ELP	NR5A1
ELP1	ELP1
ELP120	EML4
EM9	ERCC2
EMA	MUC1
EMAP-4	EML4
EMAPL4	EML4
EML4	EML4
EMT	ITK
END	ENG
ENG	ENG
ENL	MLLT1
ENX-1	EZH2
ENX1	EZH2
EP300	EP300
EPAS1	EPAS1
EPCAM	EPCAM
EPHA2	EPHA2
EPHA3	EPHA3
EPM10	PRDM8
EPO-R	EPOR
EPOR	EPOR
EPS15	EPS15
EPSTS	MYH9
ER	ESR1
ER-BETA	ESR2
ER71	ETV2
ER81	ETV1
ERBB	EGFR
ERBB1	EGFR
ERBB2	ERBB2
ERBB3	ERBB3
ERBB4	ERBB4
ERCC1	ERCC1
ERCC11	ERCC4
ERCC2	ERCC2
ERCC3	ERCC3
ERCC4	ERCC4
ERCC5	ERCC5
ERCC5-201	ERCC5
ERCM2	ERCC5
ERDA2	ZNF384
ERF	ERF
ERG	ERG
ERIS	STING1
ERK	MAPK1
ERK-1	MAPK3
ERK-2	MAPK1
ERK1	MAPK3
ERK2	MAPK1
ERM	ETV5
ERP	ELK3
ERRFI1	ERRFI1
ERRP	EGFR
ERT	ELF3
ERT1	MAPK1
ERT2	MAPK3
ERYF1	GATA1
ESA	EPCAM
ESE-1	ELF3
ESE2	ELF5
ESE3	EHF
ESE3B	EHF
ESEJ	EHF
ESO1	CTAG1B
ESR	ESR1
ESR-BETA	ESR2
ESR1	ESR1
ESR2	ESR2
ESRA	ESR1
ESRB	ESR2
ESS1	TGFBR1
EST2	TERT
ESTRB	ESR2
ESTRR	ESR1
ESWS	CDH11
ESX	ELF3
ETF	TEAD2
ETFR-1	TEAD3
ETHA	SCN9A
ETK	EPHA3
ETK1	EPHA3
ETM4	FUS
ETO2	CBFA2T3
ETOHI2	DROSHA
ETS-1	ETS1
ETS1	ETS1
ETS2	ETS2
ETS2IT1	ETS2
ETSRP71	ETV2
ETV1	ETV1
ETV2	ETV2
ETV3	ETV3
ETV3L	ETV3L
ETV4	ETV4
ETV5	ETV5
ETV6	ETV6
ETV7	ETV7
EU32	ELF2
EVI-1	RUNX1
EVI1	MECOM
EVI9	BCL11A
EVR7	CTNNB1
EWS	EWSR1
EWS-FLI1	EWSR1
EWSR1	EWSR1
EX1	FRMD6
EXIP	MAPK14
EXT	EXT1
EXT1	EXT1
EXT2	EXT2
EZF	KLF4
EZH2	EZH2
EZH2b	EZH2
EZR	EZR
Era	ESR1
Erb	ESR2
ErbB-3	ERBB3
Etk-2	TYRO3
Evi3	ZNF521
F-SRC-1	NCOA1
F-TCF	HGF
F3	F3
FA	FANCA
FA-D2	FANCD2
FA-H	FANCA
FA2	FANCB
FA3	FANCC
FA4	FANCD2
FAA	FANCA
FAA3	TGFBR2
FAA4	MYH11
FAAP250	FANCM
FAAP43	FANCL
FAAP90	FANCB
FAAP95	FANCB
FAB	FANCB
FAC	FANCC
FACA	FANCA
FACB	FANCB
FACC	FANCC
FACE	FANCE
FACL3	ACSL3
FACL6	ACSL6
FAD1	BRCA2
FAD2	FANCD2
FADK	PTK2
FADK 1	PTK2
FAE	FANCE
FAF	FANCF
FAG	FANCG
FAH	FANCA
FAK	PTK2
FAK1	PTK2
FAM123B	AMER1
FAM175A	ABRAXAS1
FAM22A	NUTM2A
FAM22B	NUTM2B
FAM22H	NUTM1
FAM46C	TENT5C
FAM6A	DIS3L2
FAN	CNTRL
FANCA	FANCA
FANCB	FANCB
FANCC	FANCC
FANCD1	BRCA2
FANCD2	FANCD2
FANCE	FANCE
FANCF	FANCF
FANCG	FANCG
FANCH	FANCA
FANCI	FANCI
FANCJ	BRIP1
FANCL	FANCL
FANCM	FANCM
FANCN	PALB2
FANCO	RAD51C
FANCQ	ERCC4
FANCR	RAD51
FANCS	BRCA1
FANCU	XRCC2
FAP	FAP
FAP108	CTCF
FAPA	FAP
FAPalpha	FAP
FAS	FAS
FAS1	FAS
FASL	FASLG
FASLG	FASLG
FASPS2	CSNK1D
FASTM	FAS
FAT	FAT1
FAT-J	FAT4
FAT1	FAT1
FAT2	FAT2
FAT3	FAT3
FAT4	FAT4
FATJ	FAT4
FB1	TFPT
FB22	CXCR4
FBH	GNA11
FBH2	GNA11
FBI-1	ZBTB7A
FBI1	ZBTB7A
FBP17	FNBP1
FBW6	FBXW7
FBW7	FBXW7
FBX11	FBXO11
FBX30	FBXW7
FBXO11	FBXO11
FBXO49	ECT2L
FBXW6	FBXW7
FBXW7	FBXW7
FCC1	MSH2
FCC2	MLH1
FCG2	FCGR2B
FCGR2	FCGR2B
FCGR2B	FCGR2B
FCRH4	FCRL4
FCRH5	FCRL5
FCRL4	FCRL4
FCRL5	FCRL5
FCTCS	ATR
FD	ELP1
FEB3B	SCN9A
FEL	AFF1
FEOM3	TUBB3
FERLK	ERBB3
FEV	FEV
FFM	ABCA4
FGCP	FOLH1
FGF-1	FGF1
FGF-2	FGF2
FGF-4	FGF4
FGF-alpha	FGF1
FGF1	FGF1
FGF2	FGF2
FGF3	FGF3
FGF4	FGF4
FGFA	FGF1
FGFB	FGF2
FGFBR	FGFR1
FGFR-1	FGFR1
FGFR-5	FGFRL1
FGFR1	FGFR1
FGFR1OP	CEP43
FGFR2	FGFR2
FGFR3	FGFR3
FGFR4	FGFR4
FGFR5	FGFRL1
FGFRL1	FGFRL1
FGLDS1	MYCN
FGR	FGR
FGS1	MED12
FGS2	FLNA
FH	FH
FHFR	FGFRL1
FHH2	GNA11
FHIT	FHIT
FHL4	STX11
FIB1	DCHS1
FIG	GOPC
FIGF	VEGFD
FIHP	CDC73
FILS	POLE
FIM	ZMYM2
FIM2	CSF1R
FIP1	FIP1L1
FIP1L1	FIP1L1
FKBP16	AIP
FKBP37	AIP
FKH1	FOXO1
FKHR	FOXO1
FKHRL1	FOXO3
FKHRL1P2	FOXO3
FLB6421	ZC3HAV1
FLCL	FLCN
FLCN	FLCN
FLG	FGFR1
FLI-1	FLI1
FLI1	FLI1
FLICE	CASP8
FLICE-2	CASP10
FLICE2	CASP10
FLJ20185k	PRR5
FLK-2	FLT3
FLK1	KDR
FLK2	FLT3
FLN	FLNA
FLN-A	FLNA
FLN1	FLNA
FLNA	FLNA
FLRG	FSTL3
FLT	FLT1
FLT-1	FLT1
FLT-2	FGFR1
FLT-4	FLT4
FLT1	FLT1
FLT2	FGFR1
FLT3	FLT3
FLT4	FLT4
FLT41	FLT4
FMC7	MS4A1
FMD	FLNA
FMRD	FH
FMS	CSF1R
FNBP1	FNBP1
FOLH	FOLH1
FOLH1	FOLH1
FOLR	FOLR1
FOLR1	FOLR1
FOSB	FOSB
FOXL2	FOXL2
FOXO1	FOXO1
FOXO1A	FOXO1
FOXO2	FOXO3
FOXO3	FOXO3
FOXO3A	FOXO3
FOXO4	FOXO4
FOXP1	FOXP1
FP	SDHA
FP793	U2AF1
FPLD1	NOTCH3
FPLD3	PPARG
FPVEPD	TUBB6
FR-alpha	FOLR1
FRA11B	CBL
FRA3B	FHIT
FRAP	MTOR
FRAP1	MTOR
FRAP2	MTOR
FRG1	FRG1
FRG1A	FRG1
FRG2	FRG2
FRG2A	FRG2
FRMD6	FRMD6
FRNK	PTK2
FRP1	ATR
FRalpha	FOLR1
FSG1	FRG1
FSH	BRD2
FSHD4	DNMT3B
FSHRG1	BRD2
FSHRG2	BRD3
FSHRG4	BRD4
FSRG1	BRD2
FSRP	FSTL3
FSTL3	FSTL3
FTDALS8	CYLD
FTDALS9	TUBA4A
FTNS	MYH9
FTZ1	NR5A1
FTZF1	NR5A1
FUBP	FUBP1
FUBP1	FUBP1
FUM	FH
FUS	FUS
FUS1	FUS
FVT1	KDSR
FYN	FYN
FZD11	SMO
Flt4-L	VEGFC
G-ALPHA-q	GNAQ
G-TSF	TGFB2
G0S3	FOSB
G13	GNA13
G17P1	DDX5
G5A	CSNK2B
G6PC3	G6PC3
GA733-1	TACSTD2
GA7331	TACSTD2
GABPA	GABPA
GADD153	DDIT3
GAK	GAK
GAP	RASA1
GAQ	GNAQ
GAR1	GAR1
GAS7	GAS7
GASC1	KDM4C
GATA-1	GATA1
GATA1	GATA1
GATA2	GATA2
GATA3	GATA3
GATD7	GMPS
GBF	KLF6
GBL	MLST8
GC4	NDRG1
GCCR	NR3C1
GCP-1	TUBG1
GCP2	FOLH1
GCPII	FOLH1
GCR	NR3C1
GCRST	NR3C1
GCSFR	CSF3R
GDS1	RAP1GDS1
GE	ELANE
GEFSP7	SCN9A
GENE-33	ERRFI1
GEPH	GPHN
GF-1	GATA1
GFI-1	GFI1
GFI1	GFI1
GFI1A	GFI1
GFI1B	GFI1B
GGF	NRG1
GGF1	SOS1
GGF2	NRG1
GHISID2	STAT5B
GIG34	RPL11
GINGF	SOS1
GINGF5	REST
GKLF	KLF4
GLC3E	TEK
GLI	GLI1
GLI1	GLI1
GLI2	GLI2
GLIO703	FGF1
GLIS2	GLIS2
GLM1	PPARG
GLM2	PTEN
GLM3	BRCA2
GLM9	POT1
GLOW	DICER1
GM-CSF-R-alpha	CSF2RA
GMAP-210	TRIP11
GMAP210	TRIP11
GMCSF	CSF2
GMCSFR	CSF2RA
GMCSFR-alpha	CSF2RA
GMP	NT5C2
GMPS	GMPS
GMR	CSF2RA
GMR-alpha	CSF2RA
GNA-11	GNA11
GNA11	GNA11
GNA13	GNA13
GNAQ	GNAQ
GNAS	GNAS
GNAS1	GNAS
GNRHR	GNRHR
GNRHR1	GNRHR
GOLGA5	GOLGA5
GOLIM5	GOLGA5
GON-10	HDAC1
GOPC	GOPC
GOPC1	GOPC
GOS3	FOSB
GOSB	FOSB
GP110	ADRM1
GP130	IL6ST
GP145-TrkB	NTRK2
GP145-TrkC	NTRK3
GP34	TNFSF4
GP40	CD7
GP50	TACSTD2
GP52-40	CD37
GP96	HSP90B1
GPC2	GPC2
GPC3	GPC3
GPH	GPHN
GPHN	GPHN
GPHRYN	GPHN
GPI3	PIGA
GPNMB	GPNMB
GPR159	ACKR3
GPR161	GPR161
GPRC5D	GPRC5D
GPSA	GNAS
GPSC	CSF1R
GR	NR3C1
GRAF	ARHGAP26
GRAF1	ARHGAP26
GRB1	PIK3R1
GRB2	GRB2
GRD4	CTLA4
GREM1	GREM1
GREMLIN	GREM1
GRHR	GNRHR
GRIP1	NCOA2
GRL	NR3C1
GRP94	HSP90B1
GRS	BCL2A1
GS	APC
GS2	RAB27A
GSA	GNAS
GSE	CTLA4
GSK3B	GSK3B
GSP	GNAS
GTBP	MSH6
GTF2H	ERCC3
GTF2S	TCEA1
GTMBP	MSH6
GTPTS	KAT6B
GTR2-2	GPC3
GUD	WT1
GbetaL	MLST8
Grb3-3	GRB2
Gx	SMO
Gy1	DGCR8
H-RASIDX	HRAS
H23AG	MUC1
H2TF1	NFKB2
H3	H3C14
H3-3A	H3-3A
H3-3B	H3-3B
H3.2	H3C14
H3.3A	H3-3A
H3.3B	H3-3B
H3.f	H3C11
H3/A	H3C1
H3/M	H3C14
H3/b	H3C4
H3/c	H3C3
H3/d	H3C6
H3/f	H3C11
H3/h	H3C8
H3/i	H3C7
H3/j	H3C12
H3/k	H3C10
H3/l	H3C2
H3/n	H3C15
H3/o	H3C15
H3C1	H3C1
H3C10	H3C10
H3C11	H3C11
H3C12	H3C12
H3C13	H3C13
H3C14	H3C14
H3C15	H3C15
H3C2	H3C2
H3C3	H3C3
H3C4	H3C4
H3C6	H3C6
H3C7	H3C7
H3C8	H3C8
H3F1K	H3C10
H3F2	H3C14
H3F3	H3-3A
H3F3A	H3-3A
H3F3B	H3-3B
H3FA	H3C1
H3FB	H3C4
H3FC	H3C3
H3FD	H3C6
H3FF	H3C11
H3FH	H3C8
H3FI	H3C7
H3FJ	H3C12
H3FK	H3C10
H3FL	H3C2
H3FM	H3C14
H3FN	H3C14
H4	CCDC6
H4/m	H4C9
H4C9	H4C9
H4FM	H4C9
H4M	H4C9
H5	SEPTIN5
HA1753	AKR1C3
HA6116	HDAC4
HAEADA	GATA1
HAFOUS	USP7
HAIP1	BIRC3
HAKRB	AKR1C3
HAKRe	AKR1C3
HALAH	EGLN1
HALR	KMT2C
HAMSV	HRAS
HASH1	ASCL1
HAUSP	USP7
HAVCR2	HAVCR2
HAVcr-2	HAVCR2
HAX1	HAX1
HB9	MNX1
HBEBP3	WWC1
HBEBP36	WWC1
HBFQTL5	BCL11A
HBGF-1	FGF1
HBGF-2	FGF2
HBGF-3	FGF3
HBGF-4	FGF4
HBGF1	FGF1
HBGFR	FGFR1
HBP231	SETD2
HBPA1	BCL2A1
HC10-II	PSMB3
HC2	PSMA1
HC3	PSMA2
HC5	PSMB1
HC7-I	PSMB2
HC8	PSMA3
HC9	PSMA4
HCAK	CDK7
HCDCREL-1	SEPTIN5
HCK	HCK
HCKID	CSNK1D
HCKIE	CSNK1E
HCLSBP1	HAX1
HCMOGT-1	SPECC1
HCMOGT1	SPECC1
HD1	HDAC1
HD10	HDAC10
HD11	HDAC11
HD2	HDAC2
HD21	SSX2
HD3	HDAC3
HD4	HDAC4
HD5	HDAC5
HD6	HDAC6
HD7A	HDAC7
HD7b	HDAC9
HD8	HDAC8
HD9	HDAC9
HDAC	HDAC9
HDAC-4	HDAC4
HDAC-A	HDAC4
HDAC1	HDAC1
HDAC10	HDAC10
HDAC11	HDAC11
HDAC2	HDAC2
HDAC3	HDAC3
HDAC4	HDAC4
HDAC5	HDAC5
HDAC6	HDAC6
HDAC7	HDAC7
HDAC7A	HDAC7
HDAC7B	HDAC9
HDAC8	HDAC8
HDAC9	HDAC9
HDAC9B	HDAC9
HDAC9FL	HDAC9
HDACA	HDAC4
HDACL1	HDAC8
HDCMC04P	KMT2E
HDKR	MED12
HDLS	CSF1R
HDLS1	CSF1R
HDR	GATA3
HDRP	HDAC9
HDRS	GATA3
HE5	CD52
HEAB	CLP1
HEB	TCF12
HEED	EED
HEI10	CCNB1IP1
HEIR-1	ID3
HEK	EPHA3
HEK4	EPHA3
HEL-189	TPM3
HEL-216	IDH1
HEL-S-105	EZR
HEL-S-108	TPM4
HEL-S-125m	HSP90B1
HEL-S-129m	PSME1
HEL-S-26	IDH1
HEL-S-275	PSMA1
HEL-S-276	PSMA7
HEL-S-283	PSME3
HEL-S-37	LCP1
HEL-S-61	KIF5B
HEL-S-65p	HSP90AA1
HEL-S-70p	ATIC
HEL-S-77p	CSNK1A1
HEL-S-82p	TPM3
HEL-S-90	AURKC
HEL-S-91n	PSMD8
HEL-S-99n	CALR
HEL2	YWHAE
HEL35	HSP90B1
HEL70	MSN
HER-2	ERBB2
HER-2/neu	ERBB2
HER1	EGFR
HER2	ERBB2
HER3	ERBB3
HER4	ERBB4
HERNA	DICER1
HERP	HERPUD1
HERP2	HEY1
HERPUD1	HERPUD1
HERPUD1-IT1	HERPUD1
HESJAS	DNMT3A
HESR1	HEY1
HEY1	HEY1
HFAT2	FAT2
HG1K	GNA11
HG1N	GNA13
HGF	HGF
HGF5	REST
HGFB	HGF
HGFIN	GPNMB
HGFR	MET
HGK2	DDR1
HGL	NRG1
HH2	FGFR1
HH26	TCF12
HH5	CHD7
HH7	GNRHR
HHC2	GNA11
HHF5	INSR
HHF7	SLC16A1
HHG1	SHH
HHT	ACVRL1
HHT1	ENG
HHT2	ACVRL1
HIAP1	BIRC3
HIAP2	BIRC2
HIES	STAT3
HIES4	IL6ST
HIES4A	IL6ST
HIES4B	IL6ST
HIES5	IL6R
HIES6	STAT6
HIF-1	SETD2
HIF-1-alpha	HIF1A
HIF-1-beta	ARNT
HIF-1A	HIF1A
HIF-1alpha	HIF1A
HIF-1beta	ARNT
HIF-PH1	EGLN2
HIF-PH2	EGLN1
HIF1	HIF1A
HIF1-ALPHA	HIF1A
HIF1-beta	ARNT
HIF1A	HIF1A
HIF1B	ARNT
HIF1BETA	ARNT
HIF2A	EPAS1
HIFPH1	EGLN2
HIFPH2	EGLN1
HIHGHH	AKT2
HIP-1	SETD2
HIP-I	HIP1
HIP1	HIP1
HIP6	PSMD8
HIP8	MAGEA3
HIST1H3A	H3C1
HIST1H3B	H3C2
HIST1H3C	H3C3
HIST1H3D	H3C4
HIST1H3E	H3C6
HIST1H3F	H3C7
HIST1H3G	H3C8
HIST1H3H	H3C10
HIST1H3I	H3C11
HIST1H3J	H3C12
HIST1H4I	H4C9
HIST2H3A	H3C15
HIST2H3C	H3C14
HIST2H3D	H3C13
HIVEN86A	REL
HJCYS	NOTCH2
HJS2	PPP2R1A
HK3	HOOK3
HKLLS2	FAT4
HKPX1	GPHN
HLADG	CD74
HLCDGP1	CSNK1A1
HLD11	POLR1C
HLD27	POLR1A
HLE	ELANE
HLF	HLF
HLH3	UNC13D
HLH4	STX11
HLP2	DDX3X
HLP3	SHH
HLR1	DDX5
HLR2	DDX6
HLRCC	FH
HLXB9	MNX1
HM89	CXCR4
HMB-45	PMEL
HMB45	PMEL
HMG-R	HMGA1
HMGA1	HMGA1
HMGA1A	HMGA1
HMGA2	HMGA2
HMGI-C	HMGA2
HMGIC	HMGA2
HMGIC/NFIB	NFIB
HMGIY	HMGA1
HMH	PIK3CA
HMPS	GREM1
HMPS1	GREM1
HMSN6A	MFN2
HMSNL	NDRG1
HMSNP	TFG
HN3	PSMB4
HNE	ELANE
HNGS1	MRE11
HNPCC1	MSH2
HNPCC2	MLH1
HNPCC3	PMS1
HNPCC4	PMS2
HNPCC5	MSH6
HNPCC8	EPCAM
HNRNPA2	HNRNPA2B1
HNRNPA2B1	HNRNPA2B1
HNRNPB1	HNRNPA2B1
HNRNPP2	FUS
HNRPA2	HNRNPA2B1
HNRPA2B1	HNRNPA2B1
HNRPB1	HNRNPA2B1
HOM-MEL-40	SSX2
HOOK3	HOOK3
HOPA	MED12
HOX1.7	HOXA9
HOX11	TLX1
HOX11L2	TLX3
HOX1G	HOXA9
HOX1I	HOXA11
HOX1J	HOXA13
HOX3	HOXC13
HOX3G	HOXC13
HOX3H	HOXC11
HOX4I	HOXD13
HOXA11	HOXA11
HOXA13	HOXA13
HOXA9	HOXA9
HOXB13	HOXB13
HOXC11	HOXC11
HOXC13	HOXC13
HOXD13	HOXD13
HOXHB9	MNX1
HPC9	HOXB13
HPCX3	AR
HPE13	STAG2
HPE3	SHH
HPE9	GLI2
HPF7	ZNF91
HPH-1	EGLN2
HPH-2	EGLN1
HPH-3	EGLN2
HPH2	EGLN1
HPLH2	PRF1
HPLH3	UNC13D
HPLH4	STX11
HPOT1	POT1
HPP1	NAE1
HPTA	HGF
HPTJT	CDC73
HPTP	PTPRD
HPTPD	PTPRD
HPTPDELTA	PTPRD
HRAD51	RAD51
HRAS	HRAS
HRAS1	HRAS
HRCA1	VHL
HRG	NRG1
HRG1	NRG1
HRG2	NRG2
HRG3	NRG3
HRG4	NRG4
HRGA	NRG1
HRH-J8	DDX10
HRIHFB2216	TSPYL2
HRMT1L1	PRMT2
HRMT1L5	PRMT5
HRP1	USP6
HRPT1	CDC73
HRPT2	CDC73
HRT-1	HEY1
HRTFDS	FGFR1
HRX	KMT2A
HRX2	KMT2B
HS1BP1	HAX1
HS44KDAP	MAPK3
HSA011916	CTDNEP1
HSA242976	DROSHA
HSAN2D	SCN9A
HSAP	MSH6
HSAPXL	SHROOM2
HSCR1	RET
HSD17B5	AKR1C3
HSD48	NACA
HSF	IL6
HSFGFR3EX	FGFR3
HSG	MFN2
HSL7	PRMT5
HSN1E	DNMT1
HSP 75	TRAP1
HSP75	TRAP1
HSP84	HSP90AB1
HSP86	HSP90AA1
HSP89A	HSP90AA1
HSP90A	HSP90AA1
HSP90AA1	HSP90AA1
HSP90AB1	HSP90AB1
HSP90B	HSP90AB1
HSP90B1	HSP90B1
HSP90L	TRAP1
HSP90N	HSP90AA1
HSPC	PSMA7
HSPC027	PSMD13
HSPC069	SETD2
HSPC1	HSP90AA1
HSPC116	SSBP2
HSPC2	HSP90AB1
HSPC215	FOXP1
HSPC252	KBTBD4
HSPCA	HSP90AA1
HSPCAL1	HSP90AA1
HSPCAL4	HSP90AA1
HSPCB	HSP90AB1
HSPN	HSP90AA1
HSRNAFEV	FEV
HSSB	RPA1
HST	FGF4
HST-1	FGF4
HST422	TYMS
HSTF-1	FGF4
HSTF1	FGF4
HSY3RR	CXCR4
HTEX-6	POLR1H
HTEX6	POLR1H
HTF10	ZNF91
HTF4	TCF12
HTRX	KMT2A
HTRX1	KMT2A
HUCEP-13	BAP1
HUMARA	AR
HUMKER1A	MAPK3
HUMP68	DDX5
HUNK1	BRD4
HUNKI	BRD4
HUP1	PAX7
HUP2	PAX3
HVEA	TNFRSF14
HVEM	TNFRSF14
HVSL1	USB1
HYC5	SMARCC1
HYPB	SETD2
HYPD	MAGEA3
HYPERION	AKAP9
HYPF	PSMD8
HYPOC2	GNA11
HYRC	PRKDC
HYRC1	PRKDC
HYSP1	AR
HYX	CDC73
Hc	CLTC
Hiap-2	BIRC2
Hs.54452	IKZF1
HsCDC7	CDC7
HsFH	FH
HsN3	PSMB4
HsRad51	RAD51
HsT1601	TUBB6
HsT16930	RAD51
HsT17266	TCF12
HsT17706	PSMA4
HsT18676	RAB27A
Hsh155	SF3B1
Hsk1	CDC7
Hsp103	HSP90AA1
Hsp89	HSP90AA1
Hsp90	HSP90AA1
HuCds1	CHEK2
Hunc18b	STXBP2
I-REL	RELB
IAP	CD47
IAP-1	BIRC3
IAP-2	BIRC2
IAP-3	XIAP
IBDIMDE	TGFB1
IBGC4	PDGFRB
IBGC5	PDGFB
IBMPFD2	HNRNPA2B1
IBP72	PRMT5
ICD-M	IDH2
ICF	DNMT3B
ICF1	DNMT3B
ID3	ID3
IDCD	IDH1
IDDAS	TBR1
IDDFBA	FBXO11
IDDFSTA	BCL11B
IDDGIP	PPM1D
IDDILF	DDX6
IDDM12	CTLA4
IDDM20	SH2B3
IDDM22	CCR5
IDDSADF	CNOT3
IDDSELD	SETD1B
IDDSSAD	ACTL6B
IDH-2	IDH2
IDH1	IDH1
IDH2	IDH2
IDHM	IDH2
IDO	IDO1
IDO-1	IDO1
IDO1	IDO1
IDPC	IDH1
IDPM	IDH2
IFG	IFNG
IFI	IFNG
IFI10	CXCL10
IFI5111	PSME1
IFN-beta-2	IL6
IFNB2	IL6
IFNG	IFNG
IGA	CD79A
IGAlpha	CD79A
IGB	CD79B
IGF1R	IGF1R
IGF2R	IGF2R
IGFIR	IGF1R
IGFP2	FCRL4
IGFR	IGF1R
IGFR2	FCGR2B
IGHD3	BTK
IHG-2	GREM1
II	CD74
IIAE9	NUP214
IK1	IKZF1
IKAP	ELP1
IKAROS	IKZF1
IKBKAP	ELP1
IKI3	ELP1
IKZF1	IKZF1
IL-1	IL1B
IL-13R	IL13RA2
IL-1Ra	IL6R
IL-2	IL2
IL-31R-beta	OSMR
IL-31RB	OSMR
IL-3R-alpha	IL3RA
IL-4-STAT	STAT6
IL-6	IL6
IL-6R	IL6R
IL-6R-1	IL6R
IL-6RA	IL6R
